filename,label,description,date
PartnersAssignment_AntiqueAklan2014-05-30,Partners Assignment,Antique & Aklan (A3 Size Paper),5/30/2014
ShelterSectorProgress2014-30-05,Shelter Sector,Shelter Recovery,5/30/2014
Partners Assignment_Cebu_2014-05-23,Partners Assignment,Cebu (A3 Size Paper),5/23/2014
Partners Assignment_Leyte2014-05-23,Partners Assignment,Leyte (A3 Size Paper),5/23/2014
Partners Assignment_Samar2014-23-05,Partners Assignment,Samar (A3 Size Paper),5/23/2014
PartnersAssignment_2014-04-14,Partners Assignment,Municipality Assignment of Partner National Society,5/23/2014
PartnersAssignment_CapizIloilo2014-05-23,Partners Assignment,Capiz & Iloilo (A3 Size Paper),5/23/2014
PartnersAssignment_NegrosOccidental2014-23-05,Partners Assignment,Negors Occidental (A3 Size Paper),5/23/2014
PartnersAssignment_Palawan2014-23-05,Partners Assignment,Palawan (A3 Size Paper),5/23/2014
PartnersAssignment_2014-4-22,Partners Assignment,Municipality Assignment of Partner National Society,5/22/2014
LivelihoodSector2014-15-04,Livelihood Sector,Commitment of Partners for Livelihood Sector,4/15/2014
ShelterSector04-07-14,Shelter Sector,Commitment of Partners for Shelter Sector,4/7/2014
YolandaPath,Typhoon Yolanda Path,Provinces hit by typhoon Yolanda,11/20/2013
PHL_Haima_3W_20161209_v2,PRC 3W for Haima,PRC Activities in Typhoon Haima,12/09/2016
PHL_Haima_3W_Cagayan_20161209,Province Activities in Haima,PRC Activities in Cagayan Province in Typhoon Haima,12/09/2016
PHL_Haima_3W_Isabela_20161209,Province Activities in Haima,PRC Activities in Isabela Province in Typhoon Haima,12/09/2016
PHL_Haima_3W_Kalinga_20161209_v2,Province Activities in Haima,PRC Activities in Kalinga Province in Typhoon Haima,12/09/2016
PHL_Haima_3W_Apayao_20161209,Province Activities in Haima,PRC Activities in Apayao Province in Typhoon Haima,12/09/2016
